number_of_instances,number_of_features,noise_to_signal_ratio,mean_kurtosis_of_numeric_attributes,mean_means_of_numeric_attributes,mean_std_dev_of_numeric_attributes,mean_mutual_information,max_nominal_att_distinct_values,mean_std_dev_nominal_att_distinct_values,mean_nominal_att_distinct_values,mean_skewness_of_numeric_attributes,prediction
8887.0,21.0,1.619692667614752,75.20954986721915,85096.59057426447,52697.42180214553,0.1795300066848372,8764.0,1247.9152902148062,1172.625,2.0064585158433914,0.6187313512568455
8887.0,6.0,1.6069301692835973,252.91961919339278,364476.06938974536,226814.7307084468,0.1848536759296216,33.0,4.183836111288481,14.666666666666666,4.48820911258028,0.415107947958772
8887.0,16.0,1.6171798742364898,88.65097562432385,99888.78719309461,61880.95389043733,0.18786359925530235,315.0,22.787933568947572,72.4,2.48373402713556,0.6130802688854111
8887.0,21.0,1.6086710915025773,15.775821363337354,84069.41641022332,52260.18371271061,0.05077399538195748,8870.0,0.041773048127317816,7728.875,1.9888738753371693,0.3348041778372
8887.0,4.0,1.608669211183624,5.3037577382121945,273225.4072240351,169845.6123387864,0.03329558187861981,0.0,0.0,0.0,1.5170723008084759,-0.6992873516922362
8887.0,6.0,1.6086704939575383,9.932284090376607,546450.8144992766,339690.95209360163,0.06510697188622867,8867.0,0.0028729337916784353,6867.25,2.137926793046154,-0.02252591396883965
8887.0,18.0,1.6086710989943354,16.72374332096015,91075.2010950946,56615.19901156249,0.05240653433678107,8870.0,0.05393757392861922,7529.0,1.971666019761508,0.3765646088961371
8887.0,21.0,1.608623144079848,75.20954986722064,84069.35606893388,52261.06959898774,0.1816243973354912,8764.0,1.0000562667042132,1172.625,2.0064585158437827,0.6126497772063736
8887.0,4.0,1.6086596352970879,4.167034997470548,273225.4072240351,169846.62338069777,0.18112324196387183,0.0,0.0,0.0,1.0981378394676948,0.14198691105027555
8887.0,6.0,1.6086586624342407,152.2644547972954,218580.3257792281,135877.1808673414,0.1885679140450284,3.0,1.0000562667041821,3.0,4.763537800521404,0.19386852100944052
8887.0,16.0,1.6086349833570381,88.6509756243256,99354.69353601277,61762.90042493702,0.18653318051381398,315.0,1.0000562667041932,72.4,2.4837340271360855,0.6083017976347633
4446.0,21.0,4.461908388173284,71.81671568056085,72838.15073324872,15890.623700828157,0.051061195594901757,4403.0,1251.449762075404,615.625,1.8905086685651953,0.14542632934189942
